positionName,companyId,companyFullName,salary,workYear,education,city
python开发工程师,340054,深圳市微赢世纪网络科技有限公司,15k-30k,3-5年,本科,深圳
Python开发工程师,70721,北京金堤科技有限公司,15k-25k,3-5年,本科,北京
Python开发工程师,116654,恒腾网络集团有限公司,15k-30k,1-3年,本科,深圳
python开发工程师,76010,外语教学与研究出版社有限责任公司,20k-30k,3-5年,本科,北京
Python开发工程师,206460,威讯柏睿数据科技（北京）有限公司,13k-25k,3-5年,本科,广州
python开发工程师,356014,易宝软件科技（南京）有限公司,10k-20k,1-3年,本科,杭州
python开发工程师,433301,深圳市普特生物医学工程有限公司,15k-24k,3-5年,本科,深圳
python开发工程师,384939,成都海盗海科技有限公司,10k-15k,1-3年,本科,成都
Python开发工程师,520,北京小米科技有限责任公司,20k-30k,3-5年,本科,北京
python开发工程师,19209,广州回头车信息科技有限公司,13k-25k,3-5年,本科,广州
python开发工程师,13553,广州游爱网络技术有限公司,10k-14k,1-3年,大专,广州
python开发工程师,35322,北京缔联科技有限公司,15k-20k,3-5年,本科,北京
python开发工程师,21229,北京嘉和美康信息技术有限公司,15k-25k,3-5年,本科,北京
Python开发工程师,85693960,北京艨艟信息技术有限公司,15k-30k,1-3年,本科,北京
python开发工程师,308812,魔珐（上海）信息科技有限公司,15k-28k,3-5年,本科,上海
